Qty-1	Part References	Value	Package	Mfg Part Num	Mfg Name	Description	Value	Pkg Code	VID	Vendor Part Num	Price @20	Price @ 500	Height	Link	XREF
1	U_C3	10uF/50V	1206	CL31A106KBHNNNE	Samsung	Capacitor ? 50V	10uF / 50V	1206	*	1276-2876-1-ND 	0.332	0.12082	*	http://www.digikey.com/product-detail/en/CL31A106KBHNNNE/1276-2876-1-ND/3890962	REF48
1	UC_CRYSTAL	16MHz	HC49UP	ECS-160-20-3X-TR	ECS	Crystal	16MHz	*	*	XC1776CT-ND	0.455	0.266	2.3	http://www.digikey.com/product-detail/en/ECS-160-20-3X-TR/XC1776CT-ND/2676640	REF5
2	UC_C3, UC_C4	20pF	0603-CAP	CL10C200JB8NNNC	Samsung	Capacitor	20pF	603	*	1276-1187-1-ND	0.0212	0.00966	*	http://www.digikey.com/product-detail/en/CL10C200JB8NNNC/1276-1187-1-ND/3889273	REF43
2	U_R1, U_R2	22	0603-RES	RC0603JR-0722RL	Yageo	Resistor	22	603	*	311-22GRCT-ND	0.008	0.00278	*	http://www.digikey.com/product-detail/en/RC0603JR-0722RL/311-22GRCT-ND/729690	REF52
1	VR5_R2	53.6k	0603-RES	RC0805FR-0753K6L	Yageo	Resistor	53.6k	603	*	311-53.6KCRCT-ND	0.021	0.00364	*	http://www.digikey.com/product-detail/en/RC0805FR-0753K6L/311-53.6KCRCT-ND/730972	REF57
3	VR3_R2, VR3_R4, VR3_R5	86.6k	0603-RES	ERJ-3EKF8662V	Panasonic	Resistor	86.6k	603	*	P86.6KHCT-ND	0.015	0.00624	*	http://www.digikey.com/product-detail/en/ERJ-3EKF8662V/P86.6KHCT-ND/198534	REF58
2	UC_C1, UC_C2	100n	0603-CAP	C1608X7R1E104K080AA	TDK	Capacitor	100nF	603	*	445-1316-1-ND	0.011	0.0077	*	http://www.digikey.com/product-detail/en/C1608X7R1E104K080AA/445-1316-1-ND/567697	REF44
4	BT_C2, UC_C6, U_C1, VR5_C4	100nF	0603-CAP	C1608X7R1E104K080AA	TDK	Capacitor	100nF	603	*	445-1316-1-ND	0.011	0.0077	*	http://www.digikey.com/product-detail/en/C1608X7R1E104K080AA/445-1316-1-ND/567697	REF44
1	U_C4	100nF	0603-CAP	CC0603ZRY5V9BB104	Yageo	Capacitor ? 50V	100nF / 50V	603	*	311-1343-1-ND 	0.017	0.00546	*	http://www.digikey.com/product-detail/en/CC0603ZRY5V9BB104/311-1343-1-ND/2103127	REF45
3	VR3_R1, VR5_R1, VR_R2	487k	0603-RES	ERJ-3EKF4873V	Panasonic	Resistor	487k	603	*	P487KHCT-ND	0.015	0.00624	*	http://www.digikey.com/product-detail/en/ERJ-3EKF4873V/P487KHCT-ND/198411	REF59
1	ATMEGA32U4-T	DNP	TQFP44-PAD	ATMEGA32U4-AU	Atmel	Microcontroller	DNP	*	*	556-ATMEGA32U4-AU	*	3.51	*	http://www.mouser.com/ProductDetail/Atmel/ATMEGA32U4-AU/?qs=sGAEpiMZZMvAvBNgSS9Lqh1wBIpnYT9c	REF1
1	UBT	BT-NVC-MDCS42A	BT_NVC-MDCS42A	NVC-MDCS42A	iNova	BT Module	*	*	*	n/a	0	*	*	n/a	REF8
